JSP_ID,skID1,skID2,skDesc1,skDesc2,skJCnt1,skJCnt2,UnionJcnt,TotJCnt,support1,support2,confidence,lift
343,1,14,agile,business intelligence,22,24,3,165,0.13,0.15,14,94
344,14,1,business intelligence,agile,24,22,3,165,0.15,0.13,12,94
345,1,39,agile,dax,22,7,3,165,0.13,0.04,14,321
346,39,1,dax,agile,7,22,3,165,0.04,0.13,43,321
347,1,44,agile,git,22,46,7,165,0.13,0.28,32,114
348,44,1,git,agile,46,22,7,165,0.28,0.13,15,114
349,1,59,agile,machine learning,22,81,10,165,0.13,0.49,45,93
350,59,1,machine learning,agile,81,22,10,165,0.49,0.13,12,93
351,1,73,agile,power apps,22,2,1,165,0.13,0.01,5,375
352,73,1,power apps,agile,2,22,1,165,0.01,0.13,50,375
353,2,31,algorithms,data pipeline,43,28,4,165,0.26,0.17,9,55
354,31,2,data pipeline,algorithms,28,43,4,165,0.17,0.26,14,55
355,2,51,algorithms,java,43,22,6,165,0.26,0.13,14,105
356,51,2,java,algorithms,22,43,6,165,0.13,0.26,27,105
357,4,98,analytic,tableau,119,47,7,165,0.72,0.28,6,21
358,98,4,tableau,analytic,47,119,7,165,0.28,0.72,15,21
360,85,3,reporting ,analysis,40,104,21,165,0.24,0.63,52,83
364,69,3,numpy,analysis,6,104,1,165,0.04,0.63,17,26
366,58,3,looker,analysis,7,104,3,165,0.04,0.63,43,68
372,62,24,math,communication,56,89,1,165,0.34,0.54,2,3
374,96,24,statistics,communication,67,89,1,165,0.41,0.54,1,3
376,98,24,tableau,communication,47,89,1,165,0.28,0.54,2,4
378,34,3,data structure,analysis,18,104,7,165,0.11,0.63,39,62
382,84,3,relational databases,analysis,10,104,2,165,0.06,0.63,20,32
384,39,3,dax,analysis,7,104,1,165,0.04,0.63,14,23
388,31,24,data pipeline,communication,28,89,1,165,0.17,0.54,4,7
390,32,24,data science,communication,76,89,1,165,0.46,0.54,1,2
394,79,24,python,communication,118,89,1,165,0.72,0.54,1,2
396,94,24,sql,communication,112,89,1,165,0.68,0.54,1,2
397,4,14,analytic,business intelligence,119,24,4,165,0.72,0.15,3,23
398,14,4,business intelligence,analytic,24,119,4,165,0.15,0.72,17,23
399,4,56,analytic,leadership,119,26,4,165,0.72,0.16,3,21
401,1,13,agile,big data,22,36,11,165,0.13,0.22,50,229
402,13,1,big data,agile,36,22,11,165,0.22,0.13,31,229
403,1,62,agile,math,22,56,6,165,0.13,0.34,27,80
404,62,1,math,agile,56,22,6,165,0.34,0.13,11,80
405,1,96,agile,statistics,22,67,8,165,0.13,0.41,36,90
406,96,1,statistics,agile,67,22,8,165,0.41,0.13,12,90
408,31,3,data pipeline,analysis,28,104,9,165,0.17,0.63,32,51
410,45,3,github,analysis,5,104,2,165,0.03,0.63,40,63
411,1,50,agile,insights,22,70,12,165,0.13,0.42,55,129
413,1,74,agile,powerbi,22,11,3,165,0.13,0.07,14,205
414,74,1,powerbi,agile,11,22,3,165,0.07,0.13,27,205
415,1,76,agile,probability,22,4,1,165,0.13,0.02,5,188
416,76,1,probability,agile,4,22,1,165,0.02,0.13,25,188
417,1,81,agile,r,22,27,6,165,0.13,0.16,27,167
418,81,1,r,agile,27,22,6,165,0.16,0.13,22,167
419,1,97,agile,structured and unstructured data,22,5,2,165,0.13,0.03,9,300
420,97,1,structured and unstructured data,agile,5,22,2,165,0.03,0.13,40,300
421,1,56,agile,leadership,22,26,3,165,0.13,0.16,14,87
423,1,64,agile,ml,22,44,9,165,0.13,0.27,41,153
424,64,1,ml,agile,44,22,9,165,0.27,0.13,20,153
425,11,23,aws,collaboration,47,39,1,165,0.28,0.24,2,9
427,11,29,aws,data engineering,47,33,1,165,0.28,0.2,2,11
428,29,11,data engineering,aws,33,47,1,165,0.2,0.28,3,11
429,11,37,aws,data warehousing ,47,6,1,165,0.28,0.04,2,59
430,37,11,data warehousing ,aws,6,47,1,165,0.04,0.28,17,59
431,11,65,aws,modeling,47,64,1,165,0.28,0.39,2,5
432,65,11,modeling,aws,64,47,1,165,0.39,0.28,2,5
433,11,79,aws,python,47,118,5,165,0.28,0.72,11,15
434,79,11,python,aws,118,47,5,165,0.72,0.28,4,15
435,11,94,aws,sql,47,112,5,165,0.28,0.68,11,16
436,94,11,sql,aws,112,47,5,165,0.68,0.28,4,16
437,31,94,data pipeline,sql,28,112,1,165,0.17,0.68,4,5
438,94,31,sql,data pipeline,112,28,1,165,0.68,0.17,1,5
439,1,68,agile,nosql,22,12,3,165,0.13,0.07,14,188
440,68,1,nosql,agile,12,22,3,165,0.07,0.13,25,188
441,1,42,agile,flink,22,3,2,165,0.13,0.02,9,500
442,42,1,flink,agile,3,22,2,165,0.02,0.13,67,500
443,1,48,agile,hadoop,22,21,5,165,0.13,0.13,23,179
444,48,1,hadoop,agile,21,22,5,165,0.13,0.13,24,179
445,1,53,agile,kafka,22,6,3,165,0.13,0.04,14,375
446,53,1,kafka,agile,6,22,3,165,0.04,0.13,50,375
447,1,55,agile,kubernetes,22,7,2,165,0.13,0.04,9,214
448,55,1,kubernetes,agile,7,22,2,165,0.04,0.13,29,214
449,1,60,agile,manufacturing,22,29,4,165,0.13,0.18,18,103
451,12,14,azure,business intelligence,24,24,1,165,0.15,0.15,4,29
452,14,12,business intelligence,azure,24,24,1,165,0.15,0.15,4,29
453,12,24,azure,communication,24,89,1,165,0.15,0.54,4,8
455,12,39,azure,dax,24,7,1,165,0.15,0.04,4,98
